"sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"13-RUTG-9.3-07102018-W","Nitrogen",2018-07-10,"KN",TRUE,1.49,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RUTG-9.3-07102018-W","Nitrogen, ammonia (As N)",2018-07-10,"7664-41-7",TRUE,0.0471,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RUTG-9.3-07102018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-10,"KN",TRUE,0.44,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RUTG-9.3-07102018-W","NITROGEN, NITRATE (AS N)",2018-07-10,"14797-55-8",TRUE,1.03,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RUTG-9.3-07102018-W","NITROGEN, NITRITE",2018-07-10,"14797-65-0",TRUE,0.018,"mg/l",0.007,"mg/l",0.01,"","A",""
"13-RUTG-9.3-07102018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-10,"7723-14-0",TRUE,0.0486,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-RUTG-9.3-07102018-W","TURBIDITY",2018-07-10,"TURB",TRUE,2.6,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-RUTG-9.3-07242018-WS","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N",TRUE,0.259,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RUTG-9.3-07242018-WS","Nitrogen",2018-07-24,"KN",TRUE,1.1,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RUTG-9.3-07242018-WS","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7",TRUE,0.019,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RUTG-9.3-07242018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN",TRUE,0.84,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RUTG-9.3-07242018-WS","NITROGEN, NITRATE (AS N)",2018-07-24,"14797-55-8",TRUE,0.259,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RUTG-9.3-07242018-WS","NITROGEN, NITRITE",2018-07-24,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-RUTG-9.3-07242018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0",TRUE,0.131,"mg/l",0.008,"mg/l",0.02,"","A",""
"13-RUTG-9.3-07242018-WS","TURBIDITY",2018-07-24,"TURB",TRUE,11.2,"ntu",0.06,"ntu",0.1,"","A",""
"13-RUTG-9.3-08142018-W","Nitrate+Nitrite as Nitrogen",2018-08-14,"NO3NO2N",TRUE,0.145,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RUTG-9.3-08142018-W","Nitrogen",2018-08-14,"KN",TRUE,0.95,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RUTG-9.3-08142018-W","Nitrogen, ammonia (As N)",2018-08-14,"7664-41-7",TRUE,0.0485,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RUTG-9.3-08142018-W","NITROGEN, KJELDAHL, TOTAL",2018-08-14,"KN",TRUE,0.81,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RUTG-9.3-08142018-W","NITROGEN, NITRATE (AS N)",2018-08-14,"14797-55-8",TRUE,0.145,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RUTG-9.3-08142018-W","NITROGEN, NITRITE",2018-08-14,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Accuracy error"
"13-RUTG-9.3-08142018-W","PHOSPHORUS, TOTAL (AS P)",2018-08-14,"7723-14-0",TRUE,0.0834,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-RUTG-9.3-08142018-W","TURBIDITY",2018-08-14,"TURB",TRUE,9.47,"ntu",0.06,"ntu",0.1,"","A",""
"13-RUTG-9.3-09052018-W","Nitrate+Nitrite as Nitrogen",2018-09-05,"NO3NO2N",TRUE,0.874,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RUTG-9.3-09052018-W","Nitrogen",2018-09-05,"KN",TRUE,1.35,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RUTG-9.3-09052018-W","Nitrogen, ammonia (As N)",2018-09-05,"7664-41-7",TRUE,0.0437,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RUTG-9.3-09052018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-05,"KN",TRUE,0.48,"mg/l",0.08,"mg/l",0.1,"","T",""
"13-RUTG-9.3-09052018-W","NITROGEN, NITRATE (AS N)",2018-09-05,"14797-55-8",TRUE,0.863,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RUTG-9.3-09052018-W","NITROGEN, NITRITE",2018-09-05,"14797-65-0",TRUE,0.011,"mg/l",0.007,"mg/l",0.01,"","A",""
"13-RUTG-9.3-09052018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-05,"7723-14-0",TRUE,0.0503,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-RUTG-9.3-09052018-W","TURBIDITY",2018-09-05,"TURB",TRUE,12.3,"ntu",0.06,"ntu",0.1,"","A",""
"13-RUTG-9.3-10022018-W","Nitrate+Nitrite as Nitrogen",2018-10-02,"NO3NO2N",TRUE,0.349,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RUTG-9.3-10022018-W","Nitrogen",2018-10-02,"KN",TRUE,0.81,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RUTG-9.3-10022018-W","Nitrogen, ammonia (As N)",2018-10-02,"7664-41-7",TRUE,0.0103,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RUTG-9.3-10022018-W","NITROGEN, KJELDAHL, TOTAL",2018-10-02,"KN",TRUE,0.46,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RUTG-9.3-10022018-W","NITROGEN, NITRATE (AS N)",2018-10-02,"14797-55-8",TRUE,0.349,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RUTG-9.3-10022018-W","NITROGEN, NITRITE",2018-10-02,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-RUTG-9.3-10022018-W","PHOSPHORUS, TOTAL (AS P)",2018-10-02,"7723-14-0",TRUE,0.0358,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-RUTG-9.3-10022018-W","TURBIDITY",2018-10-02,"TURB",TRUE,1.88,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-TINW-2.1-08-07252018-WS","Nitrate+Nitrite as Nitrogen",2018-07-25,"NO3NO2N",TRUE,0.205,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-TINW-2.1-08-07252018-WS","Nitrogen",2018-07-25,"KN",TRUE,1.53,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW-2.1-08-07252018-WS","Nitrogen, ammonia (As N)",2018-07-25,"7664-41-7",TRUE,0.0246,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW-2.1-08-07252018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-25,"KN",TRUE,1.33,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW-2.1-08-07252018-WS","NITROGEN, NITRATE (AS N)",2018-07-25,"14797-55-8",TRUE,0.205,"mg/l",NA,"mg/l",0.01,"","A",""
"13-TINW-2.1-08-07252018-WS","NITROGEN, NITRITE",2018-07-25,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW-2.1-08-07252018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-25,"7723-14-0",TRUE,0.167,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-TINW-2.1-08-07252018-WS","TURBIDITY",2018-07-25,"TURB",TRUE,40.6,"ntu",0.06,"ntu",0.1,"","A",""
"13-TINW-4.5-0.8-09062018-W","Nitrate+Nitrite as Nitrogen",2018-09-06,"NO3NO2N",TRUE,0.754,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-TINW-4.5-0.8-09062018-W","Nitrogen",2018-09-06,"KN",TRUE,1.34,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW-4.5-0.8-09062018-W","Nitrogen, ammonia (As N)",2018-09-06,"7664-41-7",TRUE,0.0298,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW-4.5-0.8-09062018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-06,"KN",TRUE,0.58,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW-4.5-0.8-09062018-W","NITROGEN, NITRATE (AS N)",2018-09-06,"14797-55-8",TRUE,0.754,"mg/l",NA,"mg/l",0.01,"","A",""
"13-TINW-4.5-0.8-09062018-W","NITROGEN, NITRITE",2018-09-06,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW-4.5-0.8-09062018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-06,"7723-14-0",TRUE,0.167,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-TINW-4.5-0.8-09062018-W","TURBIDITY",2018-09-06,"TURB",TRUE,2.13,"ntu",0.06,"ntu",0.1,"","A",""
"13-TINW-4.5-07112018-W","Nitrate+Nitrite as Nitrogen",2018-07-11,"NO3NO2N",TRUE,0.922,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-TINW-4.5-07112018-W","Nitrogen",2018-07-11,"KN",TRUE,1.42,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW-4.5-07112018-W","Nitrogen, ammonia (As N)",2018-07-11,"7664-41-7",TRUE,0.0287,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW-4.5-07112018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-11,"KN",TRUE,0.49,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW-4.5-07112018-W","NITROGEN, NITRATE (AS N)",2018-07-11,"14797-55-8",TRUE,0.909,"mg/l",NA,"mg/l",0.01,"","A",""
"13-TINW-4.5-07112018-W","NITROGEN, NITRITE",2018-07-11,"14797-65-0",TRUE,0.013,"mg/l",0.007,"mg/l",0.01,"","A",""
"13-TINW-4.5-07112018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-11,"7723-14-0",TRUE,0.0848,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-TINW-4.5-07112018-W","TURBIDITY",2018-07-11,"TURB",TRUE,3.08,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-TINW-4.5-08-07252018-WS","Nitrate+Nitrite as Nitrogen",2018-07-25,"NO3NO2N",TRUE,0.0052,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-TINW-4.5-08-07252018-WS","Nitrogen",2018-07-25,"KN",TRUE,0.91,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW-4.5-08-07252018-WS","Nitrogen, ammonia (As N)",2018-07-25,"7664-41-7",TRUE,0.009,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW-4.5-08-07252018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-25,"KN",TRUE,0.91,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW-4.5-08-07252018-WS","NITROGEN, NITRATE (AS N)",2018-07-25,"14797-55-8",TRUE,NA,"mg/l",NA,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW-4.5-08-07252018-WS","NITROGEN, NITRITE",2018-07-25,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW-4.5-08-07252018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-25,"7723-14-0",TRUE,0.101,"mg/l",0.004,"mg/l",0.01,"","A",""
"13-TINW-4.5-08-07252018-WS","TURBIDITY",2018-07-25,"TURB",TRUE,3.38,"ntu",0.06,"ntu",0.1,"","T",""
"13-TINW-4.5-10022018-W","Nitrate+Nitrite as Nitrogen",2018-10-02,"NO3NO2N",TRUE,0.221,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-TINW-4.5-10022018-W","Nitrogen",2018-10-02,"KN",TRUE,0.8,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW-4.5-10022018-W","Nitrogen, ammonia (As N)",2018-10-02,"7664-41-7",TRUE,0.0129,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW-4.5-10022018-W","NITROGEN, KJELDAHL, TOTAL",2018-10-02,"KN",TRUE,0.58,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW-4.5-10022018-W","NITROGEN, NITRATE (AS N)",2018-10-02,"14797-55-8",TRUE,0.221,"mg/l",NA,"mg/l",0.01,"","A",""
"13-TINW-4.5-10022018-W","NITROGEN, NITRITE",2018-10-02,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW-4.5-10022018-W","PHOSPHORUS, TOTAL (AS P)",2018-10-02,"7723-14-0",TRUE,0.0682,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-TINW-4.5-10022018-W","TURBIDITY",2018-10-02,"TURB",TRUE,1.28,"ntu",0.06,"ntu",0.1,"","T",""
"13-TINW-T3-2.1-09-09062018-W","Nitrate+Nitrite as Nitrogen",2018-09-06,"NO3NO2N",TRUE,0.027,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"13-TINW-T3-2.1-09-09062018-W","Nitrogen",2018-09-06,"KN",TRUE,1.02,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW-T3-2.1-09-09062018-W","Nitrogen, ammonia (As N)",2018-09-06,"7664-41-7",TRUE,0.0675,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW-T3-2.1-09-09062018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-06,"KN",TRUE,0.99,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW-T3-2.1-09-09062018-W","NITROGEN, NITRATE (AS N)",2018-09-06,"14797-55-8",TRUE,0.027,"mg/l",NA,"mg/l",0.01,"","A",""
"13-TINW-T3-2.1-09-09062018-W","NITROGEN, NITRITE",2018-09-06,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW-T3-2.1-09-09062018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-06,"7723-14-0",TRUE,0.81,"mg/l",0.04,"mg/l",0.1,"","A",""
"13-TINW-T3-2.1-09-09062018-W","TURBIDITY",2018-09-06,"TURB",TRUE,25.4,"ntu",0.06,"ntu",0.1,"","A",""
"13-TINW-T3.2.1-07112018-W","Nitrate+Nitrite as Nitrogen",2018-07-11,"NO3NO2N",TRUE,0.0335,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-TINW-T3.2.1-07112018-W","Nitrogen",2018-07-11,"KN",TRUE,1.38,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW-T3.2.1-07112018-W","Nitrogen, ammonia (As N)",2018-07-11,"7664-41-7",TRUE,0.0409,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW-T3.2.1-07112018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-11,"KN",TRUE,1.35,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW-T3.2.1-07112018-W","NITROGEN, NITRATE (AS N)",2018-07-11,"14797-55-8",TRUE,0.033,"mg/l",NA,"mg/l",0.01,"","A",""
"13-TINW-T3.2.1-07112018-W","NITROGEN, NITRITE",2018-07-11,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW-T3.2.1-07112018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-11,"7723-14-0",TRUE,0.289,"mg/l",0.02,"mg/l",0.05,"","A",""
"13-TINW-T3.2.1-07112018-W","TURBIDITY",2018-07-11,"TURB",TRUE,21.7,"ntu",0.06,"ntu",0.1,"","A",""
"13-TINW_4.5-0.8-08152017-W","Nitrate+Nitrite as Nitrogen",2018-08-15,"NO3NO2N",TRUE,0.194,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-TINW_4.5-0.8-08152017-W","Nitrogen",2018-08-15,"KN",TRUE,0.89,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW_4.5-0.8-08152017-W","Nitrogen, ammonia (As N)",2018-08-15,"7664-41-7",TRUE,0.0321,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW_4.5-0.8-08152017-W","NITROGEN, KJELDAHL, TOTAL",2018-08-15,"KN",TRUE,0.7,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW_4.5-0.8-08152017-W","NITROGEN, NITRATE (AS N)",2018-08-15,"14797-55-8",TRUE,0.194,"mg/l",NA,"mg/l",0.01,"","A",""
"13-TINW_4.5-0.8-08152017-W","NITROGEN, NITRITE",2018-08-15,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW_4.5-0.8-08152017-W","PHOSPHORUS, TOTAL (AS P)",2018-08-15,"7723-14-0",TRUE,0.113,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-TINW_4.5-0.8-08152017-W","TURBIDITY",2018-08-15,"TURB",TRUE,3.83,"ntu",0.06,"ntu",0.1,"","A",""
"13-TINW_T3-2.1-08152018-W","Nitrate+Nitrite as Nitrogen",2018-08-15,"NO3NO2N",TRUE,0.0099,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"13-TINW_T3-2.1-08152018-W","Nitrogen",2018-08-15,"KN",TRUE,0.93,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW_T3-2.1-08152018-W","Nitrogen, ammonia (As N)",2018-08-15,"7664-41-7",TRUE,0.046,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW_T3-2.1-08152018-W","NITROGEN, KJELDAHL, TOTAL",2018-08-15,"KN",TRUE,0.92,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW_T3-2.1-08152018-W","NITROGEN, NITRATE (AS N)",2018-08-15,"14797-55-8",TRUE,0.01,"mg/l",NA,"mg/l",0.01,"","R","Result should be less than the total"
"13-TINW_T3-2.1-08152018-W","NITROGEN, NITRITE",2018-08-15,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW_T3-2.1-08152018-W","PHOSPHORUS, TOTAL (AS P)",2018-08-15,"7723-14-0",TRUE,0.21,"mg/l",0.04,"mg/l",0.1,"","A",""
"13-TINW_T3-2.1-08152018-W","TURBIDITY",2018-08-15,"TURB",TRUE,5.35,"ntu",0.06,"ntu",0.1,"","A",""
"13-TINW_T3-2.1-10022018-W","Nitrate+Nitrite as Nitrogen",2018-10-02,"NO3NO2N",TRUE,0.0072,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-TINW_T3-2.1-10022018-W","Nitrogen",2018-10-02,"KN",TRUE,0.57,"mg/l",NA,"mg/l",0.1,"","A",""
"13-TINW_T3-2.1-10022018-W","Nitrogen, ammonia (As N)",2018-10-02,"7664-41-7",TRUE,0.0059,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-TINW_T3-2.1-10022018-W","NITROGEN, KJELDAHL, TOTAL",2018-10-02,"KN",TRUE,0.56,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-TINW_T3-2.1-10022018-W","NITROGEN, NITRATE (AS N)",2018-10-02,"14797-55-8",TRUE,NA,"mg/l",NA,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW_T3-2.1-10022018-W","NITROGEN, NITRITE",2018-10-02,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-TINW_T3-2.1-10022018-W","PHOSPHORUS, TOTAL (AS P)",2018-10-02,"7723-14-0",TRUE,0.0421,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-TINW_T3-2.1-10022018-W","TURBIDITY",2018-10-02,"TURB",TRUE,0.72,"ntu",0.06,"ntu",0.1,"","R","Equipment Blank error"
"13-WALK-T13-0.7-07112018-W","Nitrate+Nitrite as Nitrogen",2018-07-11,"NO3NO2N",TRUE,0.204,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-WALK-T13-0.7-07112018-W","Nitrogen",2018-07-11,"KN",TRUE,0.82,"mg/l",NA,"mg/l",0.1,"","A",""
"13-WALK-T13-0.7-07112018-W","Nitrogen, ammonia (As N)",2018-07-11,"7664-41-7",TRUE,0.0672,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-WALK-T13-0.7-07112018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-11,"KN",TRUE,0.62,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-WALK-T13-0.7-07112018-W","NITROGEN, NITRATE (AS N)",2018-07-11,"14797-55-8",TRUE,0.204,"mg/l",NA,"mg/l",0.01,"","A",""
"13-WALK-T13-0.7-07112018-W","NITROGEN, NITRITE",2018-07-11,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-WALK-T13-0.7-07112018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-11,"7723-14-0",TRUE,0.108,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-WALK-T13-0.7-07112018-W","TURBIDITY",2018-07-11,"TURB",TRUE,99.6,"ntu",0.06,"ntu",0.1,"","A",""
"13-WALK-T13-0.7-09062018-W","Nitrate+Nitrite as Nitrogen",2018-09-06,"NO3NO2N",TRUE,0.193,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-WALK-T13-0.7-09062018-W","Nitrogen",2018-09-06,"KN",TRUE,0.77,"mg/l",NA,"mg/l",0.1,"","A",""
"13-WALK-T13-0.7-09062018-W","Nitrogen, ammonia (As N)",2018-09-06,"7664-41-7",TRUE,0.0436,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-WALK-T13-0.7-09062018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-06,"KN",TRUE,0.58,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-WALK-T13-0.7-09062018-W","NITROGEN, NITRATE (AS N)",2018-09-06,"14797-55-8",TRUE,0.193,"mg/l",NA,"mg/l",0.01,"","A",""
"13-WALK-T13-0.7-09062018-W","NITROGEN, NITRITE",2018-09-06,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-WALK-T13-0.7-09062018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-06,"7723-14-0",TRUE,0.0759,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-WALK-T13-0.7-09062018-W","TURBIDITY",2018-09-06,"TURB",TRUE,94.7,"ntu",0.06,"ntu",0.1,"","A",""
"13-WALK-T15-0.1-07112018-W","Nitrate+Nitrite as Nitrogen",2018-07-11,"NO3NO2N",TRUE,0.555,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-WALK-T15-0.1-07112018-W","Nitrogen",2018-07-11,"KN",TRUE,1.04,"mg/l",NA,"mg/l",0.1,"","A",""
"13-WALK-T15-0.1-07112018-W","Nitrogen, ammonia (As N)",2018-07-11,"7664-41-7",TRUE,0.0132,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-WALK-T15-0.1-07112018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-11,"KN",TRUE,0.49,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-WALK-T15-0.1-07112018-W","NITROGEN, NITRATE (AS N)",2018-07-11,"14797-55-8",TRUE,0.555,"mg/l",NA,"mg/l",0.01,"","A",""
"13-WALK-T15-0.1-07112018-W","NITROGEN, NITRITE",2018-07-11,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-WALK-T15-0.1-07112018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-11,"7723-14-0",TRUE,0.066,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-WALK-T15-0.1-07112018-W","TURBIDITY",2018-07-11,"TURB",TRUE,4.72,"ntu",0.06,"ntu",0.1,"","A",""
"13-WALK-T15-0.1-09062018-W","Nitrate+Nitrite as Nitrogen",2018-09-06,"NO3NO2N",TRUE,0.549,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-WALK-T15-0.1-09062018-W","Nitrogen",2018-09-06,"KN",TRUE,0.99,"mg/l",NA,"mg/l",0.1,"","A",""
"13-WALK-T15-0.1-09062018-W","Nitrogen, ammonia (As N)",2018-09-06,"7664-41-7",TRUE,0.0381,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-WALK-T15-0.1-09062018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-06,"KN",TRUE,0.45,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-WALK-T15-0.1-09062018-W","NITROGEN, NITRATE (AS N)",2018-09-06,"14797-55-8",TRUE,0.549,"mg/l",NA,"mg/l",0.01,"","A",""
"13-WALK-T15-0.1-09062018-W","NITROGEN, NITRITE",2018-09-06,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-WALK-T15-0.1-09062018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-06,"7723-14-0",TRUE,0.0886,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-WALK-T15-0.1-09062018-W","TURBIDITY",2018-09-06,"TURB",TRUE,4.21,"ntu",0.06,"ntu",0.1,"","A",""
"13-WALK_T13-0.7-07252018-WS","Nitrate+Nitrite as Nitrogen",2018-07-25,"NO3NO2N",TRUE,0.318,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-WALK_T13-0.7-07252018-WS","Nitrogen",2018-07-25,"KN",TRUE,0.93,"mg/l",NA,"mg/l",0.1,"","A",""
"13-WALK_T13-0.7-07252018-WS","Nitrogen, ammonia (As N)",2018-07-25,"7664-41-7",TRUE,0.0252,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-WALK_T13-0.7-07252018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-25,"KN",TRUE,0.61,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-WALK_T13-0.7-07252018-WS","NITROGEN, NITRATE (AS N)",2018-07-25,"14797-55-8",TRUE,0.318,"mg/l",NA,"mg/l",0.01,"","A",""
"13-WALK_T13-0.7-07252018-WS","NITROGEN, NITRITE",2018-07-25,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-WALK_T13-0.7-07252018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-25,"7723-14-0",TRUE,0.0744,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-WALK_T13-0.7-07252018-WS","TURBIDITY",2018-07-25,"TURB",TRUE,38.4,"ntu",0.06,"ntu",0.1,"","A",""
"13-WALK_T13-0.7-08152018-W","Nitrate+Nitrite as Nitrogen",2018-08-15,"NO3NO2N",TRUE,0.433,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-WALK_T13-0.7-08152018-W","Nitrogen",2018-08-15,"KN",TRUE,0.93,"mg/l",NA,"mg/l",0.1,"","A",""
"13-WALK_T13-0.7-08152018-W","Nitrogen, ammonia (As N)",2018-08-15,"7664-41-7",TRUE,0.0229,"mg/l",8e-04,"mg/l",0.005,"","A",""
