sys_sample_code,sample_date,site,location,lab_sdg,sample_source,nysdec_sample_type,chemical_name,fraction,result_value,result_unit,lab_flag,lab_anl_method_name,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,analysis_date,equipment_blank_ssc,equipment_blank,equipment_blank_result_value,precision_ssc,precision,precision_result_value,accuracy_ssc,accuracy,accuracy_result_value,qc
090220clkposdoc,2020-09-02T19:00:00Z,clarkson,lab,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0152,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-10-2020 23:54:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090220clkpredoc ms,pass,0.0471,reject
090220clkpredoc,2020-09-02T14:00:00Z,clarkson,lab,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.024,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-10-2020 23:48:00,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,accept
090320clk0900eff,2020-09-03T13:00:00Z,clarkson,effluent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0458,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-14-2020 20:02:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090220clkpredoc ms,pass,0.0471,reject
090320clk0900inf,2020-09-03T13:00:00Z,clarkson,influent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0127,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-14-2020 20:01:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090220clkpredoc ms,pass,0.0471,reject
090320esf0900eff,2020-09-03T13:00:00Z,esf,effluent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.206,mg/l,no_flag,E365.1,7723-14-0,0.018,mg/l,0.025,09-14-2020 23:17:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090220clkpredoc ms,pass,0.0471,reject
090320esf0900inf,2020-09-03T13:00:00Z,esf,influent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0161,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-14-2020 20:05:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090220clkpredoc ms,pass,0.0471,reject
083120clk1200inf-72,2020-09-03T16:00:00Z,clarkson,influent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0122,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-14-2020 23:05:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,reject
083120esf1200eff-72,2020-09-03T16:00:00Z,esf,effluent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.087,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-14-2020 23:07:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,reject
083120esf1200inf-72,2020-09-03T16:00:00Z,esf,influent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0122,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-14-2020 23:06:00,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,reject
090120clk1200eff-72,2020-09-04T16:00:00Z,clarkson,effluent,R2008229,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.265,mg/l,no_flag,E365.1,7723-14-0,0.018,mg/l,0.025,09-17-2020 14:29:00,090420clk1200effeb,pass,0,090420clk1200effdup,fail,32%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,reject
090120clk1200inf-72,2020-09-04T16:00:00Z,clarkson,influent,R2008229,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0127,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-17-2020 14:02:00,090420clk1200effeb,pass,0,090420clk1200effdup,fail,32%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,reject
090120esf1200eff-72,2020-09-04T16:00:00Z,esf,effluent,R2008229,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0315,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-17-2020 14:17:00,090420clk1200effeb,pass,0,090420clk1200effdup,fail,32%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,reject
