sys_sample_code,sample_date,site,location,lab_sdg,sample_source,nysdec_sample_type,chemical_name,fraction,result_value,result_unit,lab_flag,lab_anl_method_name,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,analysis_date,equipment_blank_ssc,equipment_blank,equipment_blank_result_value,precision_ssc,precision,precision_result_value,accuracy_ssc,accuracy,accuracy_result_value,holding_time_value,holding_time,qc
090120clk1200inf-72,2020-09-04T16:00:00Z,clarkson,influent,R2008229,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0127,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-17T18:02:00Z,090420clk1200effeb,pass,0,090420clk1200effdup,fail,32%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,314.033333333333,pass,reject
090120esf1200eff-72,2020-09-04T16:00:00Z,esf,effluent,R2008229,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0315,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-17T18:17:00Z,090420clk1200effeb,pass,0,090420clk1200effdup,fail,32%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,314.283333333333,pass,reject
090120esf1200inf-72,2020-09-04T16:00:00Z,esf,influent,R2008229,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0127,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-17T18:16:00Z,090420clk1200effeb,pass,0,090420clk1200effdup,fail,32%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,314.266666666667,pass,reject
090320clk1200amb,2020-09-03T16:00:00Z,clarkson,ambient,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0119,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-14T23:58:00Z,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,271.966666666667,pass,reject
090320clk1200eff,2020-09-03T16:00:00Z,clarkson,effluent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0786,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-15T00:09:00Z,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,272.15,pass,reject
090320clk1200inf,2020-09-03T16:00:00Z,clarkson,influent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0104,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-15T00:08:00Z,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,272.133333333333,pass,reject
090320clk1500eff,2020-09-03T19:00:00Z,clarkson,effluent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0704,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-15T02:59:00Z,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,271.983333333333,pass,reject
090320clk1500inf,2020-09-03T19:00:00Z,clarkson,influent,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0166,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-15T02:56:00Z,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,271.933333333333,pass,reject
090320con1200amb,2020-09-03T16:00:00Z,control,ambient,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0125,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-14T23:55:00Z,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,271.916666666667,pass,reject
090320esf1200amb,2020-09-03T16:00:00Z,esf,ambient,R2008207,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0113,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-14T23:57:00Z,090320clk1200ambeb; 090320esf1200effeb,pass; pass,0; 0,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090120clk1200inf-72 ms; 090420clk1200eff ms,pass; pass,0.0337; 0.118,271.95,pass,reject
